observation_time,station_id,raw_text,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,flight_category,sky_cover,cloud_base_ft_agl
2024-02-24T23:54:00Z,KBTV,KBTV 242354Z 04006KT 10SM CLR M09/M18 A2997 RMK AO2 SLP157 T10891183 11072 21089 53026,44.4683,-73.1499,-8.9,-18.3,40,6,,10+,29.97,VFR,clear,
2024-02-25T00:54:00Z,KBTV,KBTV 250054Z 05006KT 10SM CLR M09/M18 A2999 RMK AO2 SLP164 T10941183,44.4683,-73.1499,-9.4,-18.3,50,6,,10+,29.99,VFR,clear,
2024-02-25T01:54:00Z,KBTV,KBTV 250154Z 05003KT 10SM CLR M09/M18 A3002 RMK AO2 SLP172 T10941178,44.4683,-73.1499,-9.4,-17.8,50,3,,10+,30.02,VFR,clear,
2024-02-25T02:54:00Z,KBTV,KBTV 250254Z 00000KT 10SM CLR M11/M17 A3002 RMK AO2 SLP173 T11061172 51016,44.4683,-73.1499,-10.6,-17.2,0,0,,10+,30.02,VFR,clear,
2024-02-25T03:54:00Z,KBTV,KBTV 250354Z 00000KT 10SM CLR M11/M17 A3003 RMK AO2 SLP177 T11061172,44.4683,-73.1499,-10.6,-17.2,0,0,,10+,30.03,VFR,clear,
2024-02-25T04:54:00Z,KBTV,KBTV 250454Z 09003KT 10SM CLR M11/M17 A3004 RMK AO2 SLP180 /LAST/ T11061167 410171122,44.4683,-73.1499,-10.6,-16.7,90,3,,10+,30.04,VFR,clear,
2024-02-25T05:54:00Z,KBTV,KBTV 250554Z 13004KT 10SM CLR M11/M16 A3005 RMK AO2 SLP183 T11111161 11089 21117 52010,44.4683,-73.1499,-11.1,-16.1,130,4,,10+,30.05,VFR,clear,
2024-02-25T06:54:00Z,KBTV,KBTV 250654Z 10006KT 10SM CLR M12/M16 A3005 RMK AO2 SLP184 T11171161,44.4683,-73.1499,-11.7,-16.1,100,6,,10+,30.05,VFR,clear,
2024-02-25T07:54:00Z,KBTV,KBTV 250754Z 12003KT 10SM CLR M12/M17 A3006 RMK AO2 SLP187 T11171167,44.4683,-73.1499,-11.7,-16.7,120,3,,10+,30.06,VFR,clear,
2024-02-25T08:54:00Z,KBTV,KBTV 250854Z 13003KT 10SM CLR M12/M16 A3007 RMK AO2 SLP188 T11221161 53005,44.4683,-73.1499,-12.2,-16.1,130,3,,10+,30.07,VFR,clear,
